supplier_id,category,p_disruption_3m,signal,top_drivers,recommended_supplier_action,buyer_internal_action
S222,C06,0.338,AMBER,sub_tier_concentration (+0.15); geo_risk_index (+0.10); backlog_growth (+0.05),Request tier-2 source mapping and sub-supplier contingency plans. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S203,C11,0.337,AMBER,single_source (+0.14); geo_risk_index (+0.07); financial_health (+0.05),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S233,C05,0.336,AMBER,single_source (+0.14); sub_tier_concentration (+0.12); backlog_growth (+0.05),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S117,C09,0.331,AMBER,sub_tier_concentration (+0.16); otif_rate (+0.06); lead_time_days (+0.05),Request tier-2 source mapping and sub-supplier contingency plans. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S109,C01,0.329,AMBER,single_source (+0.14); geo_risk_index (+0.08); financial_health (+0.05),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S133,C01,0.317,AMBER,geo_risk_index (+0.06); lead_time_days (+0.05); backlog_growth (+0.05),Request business-continuity plan and alternate production site mapping. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S177,C09,0.317,AMBER,single_source (+0.14); capacity_utilization (+0.03); lead_time_days (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S218,C02,0.305,AMBER,single_source (+0.13); backlog_growth (+0.05); otif_rate (+0.04),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S130,C10,0.302,AMBER,geo_risk_index (+0.13); otif_rate (+0.04); sub_tier_concentration (+0.03),Request business-continuity plan and alternate production site mapping. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S020,C08,0.295,AMBER,single_source (+0.13); sub_tier_concentration (+0.07); capacity_utilization (+0.04),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S175,C07,0.292,AMBER,single_source (+0.13); backlog_growth (+0.05); geo_risk_index (+0.05),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S211,C07,0.289,AMBER,single_source (+0.13); geo_risk_index (+0.07); otif_rate (+0.06),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S146,C02,0.283,AMBER,lead_time_days (+0.05); financial_health (+0.05); lead_time_cv (+0.04),Review lead-time commitments; agree on buffer stock at supplier or buyer site. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S128,C08,0.28,AMBER,geo_risk_index (+0.10); backlog_growth (+0.05); lead_time_days (+0.04),Request business-continuity plan and alternate production site mapping. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S034,C10,0.28,AMBER,geo_risk_index (+0.16); sub_tier_concentration (+0.03); lead_time_cv (+0.03),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S103,C07,0.278,AMBER,single_source (+0.13); lead_time_days (+0.05); financial_health (+0.04),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S069,C09,0.27,AMBER,single_source (+0.12); backlog_growth (+0.05); sub_tier_concentration (+0.04),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S058,C10,0.265,AMBER,response_latency_days (+0.05); backlog_growth (+0.05); lead_time_days (+0.04),Escalate to account executive; establish a named communication owner. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S095,C11,0.257,AMBER,single_source (+0.12); geo_risk_index (+0.06); otif_rate (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S148,C04,0.256,AMBER,single_source (+0.12); lead_time_cv (+0.04); sub_tier_concentration (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Joint root-cause review of delivery variability; stabilise order release cadence.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S151,C07,0.255,AMBER,single_source (+0.12); capacity_utilization (+0.04); geo_risk_index (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S132,C00,0.252,AMBER,financial_health (+0.05); lead_time_days (+0.05); sub_tier_concentration (+0.04),Request financial disclosure; evaluate supply-chain finance or early-payment terms. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S062,C02,0.251,AMBER,lead_time_cv (+0.05); capacity_utilization (+0.04); response_latency_days (+0.04),Joint root-cause review of delivery variability; stabilise order release cadence. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S067,C07,0.249,AMBER,geo_risk_index (+0.12); single_source (+0.11); sub_tier_concentration (+0.10),Request business-continuity plan and alternate production site mapping. | Discuss dual-site production or tooling duplication; share a continuity plan for affected parts.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S121,C01,0.246,AMBER,sub_tier_concentration (+0.05); lead_time_days (+0.04); otif_rate (+0.04),Request tier-2 source mapping and sub-supplier contingency plans. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S192,C00,0.244,AMBER,backlog_growth (+0.07); financial_health (+0.04); lead_time_days (+0.04),Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S202,C10,0.243,AMBER,sub_tier_concentration (+0.12); otif_rate (+0.04); lead_time_days (+0.03),Request tier-2 source mapping and sub-supplier contingency plans. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S138,C06,0.242,AMBER,single_source (+0.11); geo_risk_index (+0.04); response_latency_days (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S193,C01,0.239,AMBER,single_source (+0.11); sub_tier_concentration (+0.05); capacity_utilization (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S084,C00,0.238,AMBER,single_source (+0.11); financial_health (+0.04); response_latency_days (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S105,C09,0.238,AMBER,geo_risk_index (+0.06); sub_tier_concentration (+0.04); lead_time_days (+0.03),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S000,C00,0.238,AMBER,sub_tier_concentration (+0.11); capacity_utilization (+0.02); otif_rate (+0.02),Request tier-2 source mapping and sub-supplier contingency plans. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S199,C07,0.232,AMBER,otif_rate (+0.05); backlog_growth (+0.04); capacity_utilization (+0.04),Open a delivery-performance corrective action plan with weekly checkpoints. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S024,C00,0.224,AMBER,single_source (+0.11); sub_tier_concentration (+0.03); otif_rate (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S083,C11,0.221,AMBER,single_source (+0.10); geo_risk_index (+0.08); backlog_growth (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S163,C07,0.22,AMBER,financial_health (+0.05); otif_rate (+0.05); lead_time_days (+0.03),Request financial disclosure; evaluate supply-chain finance or early-payment terms. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S056,C08,0.214,AMBER,financial_health (+0.05); backlog_growth (+0.04); capacity_utilization (+0.04),Request financial disclosure; evaluate supply-chain finance or early-payment terms. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S221,C05,0.211,AMBER,sub_tier_concentration (+0.06); lead_time_cv (+0.04); otif_rate (+0.04),Request tier-2 source mapping and sub-supplier contingency plans. | Joint root-cause review of delivery variability; stabilise order release cadence.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S220,C04,0.208,AMBER,financial_health (+0.03); sub_tier_concentration (+0.03); capacity_utilization (+0.02),Request financial disclosure; evaluate supply-chain finance or early-payment terms. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S013,C01,0.205,AMBER,single_source (+0.10); otif_rate (+0.03); capacity_utilization (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S209,C05,0.205,AMBER,geo_risk_index (+0.07); financial_health (+0.02); defect_ppm (+0.02),Request business-continuity plan and alternate production site mapping. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S196,C04,0.204,AMBER,geo_risk_index (+0.09); backlog_growth (+0.05); defect_ppm (+0.02),Request business-continuity plan and alternate production site mapping. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S065,C05,0.203,AMBER,sub_tier_concentration (+0.07); financial_health (+0.04); lead_time_days (+0.02),Request tier-2 source mapping and sub-supplier contingency plans. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S016,C04,0.203,AMBER,geo_risk_index (+0.04); capacity_utilization (+0.03); lead_time_cv (+0.03),Request business-continuity plan and alternate production site mapping. | Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S185,C05,0.202,AMBER,single_source (+0.10); sub_tier_concentration (+0.06); lead_time_days (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S197,C05,0.2,AMBER,capacity_utilization (+0.04); lead_time_days (+0.04); financial_health (+0.03),Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S106,C10,0.198,AMBER,geo_risk_index (+0.10); single_source (+0.09); sub_tier_concentration (+0.02),Request business-continuity plan and alternate production site mapping. | Discuss dual-site production or tooling duplication; share a continuity plan for affected parts.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S098,C02,0.194,AMBER,single_source (+0.09); lead_time_cv (+0.02); backlog_growth (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Joint root-cause review of delivery variability; stabilise order release cadence.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S188,C08,0.19,AMBER,backlog_growth (+0.03); lead_time_cv (+0.03); otif_rate (+0.03),Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue. | Joint root-cause review of delivery variability; stabilise order release cadence.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S232,C04,0.188,AMBER,geo_risk_index (+0.07); sub_tier_concentration (+0.05); defect_ppm (+0.01),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S045,C09,0.186,AMBER,otif_rate (+0.04); financial_health (+0.02); lead_time_days (+0.02),Open a delivery-performance corrective action plan with weekly checkpoints. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S147,C03,0.185,AMBER,lead_time_cv (+0.04); otif_rate (+0.03); lead_time_days (+0.02),Joint root-cause review of delivery variability; stabilise order release cadence. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S170,C02,0.181,AMBER,geo_risk_index (+0.06); sub_tier_concentration (+0.05); capacity_utilization (+0.02),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S031,C07,0.18,AMBER,sub_tier_concentration (+0.06); financial_health (+0.04); response_latency_days (+0.03),Request tier-2 source mapping and sub-supplier contingency plans. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S215,C11,0.177,AMBER,single_source (+0.09); geo_risk_index (+0.03); sub_tier_concentration (+0.03),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S107,C11,0.176,AMBER,capacity_utilization (+0.03); response_latency_days (+0.03); defect_ppm (+0.02),Share a firm 6-month forecast and discuss reserved capacity or capacity-option contract. | Escalate to account executive; establish a named communication owner.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S007,C07,0.172,AMBER,geo_risk_index (+0.02); defect_ppm (+0.02); financial_health (+0.02),Request business-continuity plan and alternate production site mapping. | Trigger supplier quality audit and 8D corrective action.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S228,C00,0.169,AMBER,geo_risk_index (+0.05); sub_tier_concentration (+0.04); otif_rate (+0.02),Request business-continuity plan and alternate production site mapping. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S100,C04,0.169,AMBER,single_source (+0.08); financial_health (+0.02); otif_rate (+0.01),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S110,C02,0.169,AMBER,backlog_growth (+0.04); financial_health (+0.03); defect_ppm (+0.02),Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S050,C02,0.167,AMBER,single_source (+0.08); sub_tier_concentration (+0.03); lead_time_cv (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request tier-2 source mapping and sub-supplier contingency plans.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S012,C00,0.166,AMBER,financial_health (+0.03); defect_ppm (+0.02); geo_risk_index (+0.02),Request financial disclosure; evaluate supply-chain finance or early-payment terms. | Trigger supplier quality audit and 8D corrective action.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S047,C11,0.164,AMBER,geo_risk_index (+0.06); financial_health (+0.02); lead_time_cv (+0.02),Request business-continuity plan and alternate production site mapping. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S059,C11,0.16,AMBER,sub_tier_concentration (+0.02); backlog_growth (+0.02); lead_time_days (+0.02),Request tier-2 source mapping and sub-supplier contingency plans. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S123,C03,0.159,AMBER,geo_risk_index (+0.04); backlog_growth (+0.03); otif_rate (+0.02),Request business-continuity plan and alternate production site mapping. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S119,C11,0.159,AMBER,single_source (+0.08); geo_risk_index (+0.03); otif_rate (+0.01),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Request business-continuity plan and alternate production site mapping.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S044,C08,0.158,AMBER,geo_risk_index (+0.06); financial_health (+0.01); defect_ppm (+0.01),Request business-continuity plan and alternate production site mapping. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S076,C04,0.157,AMBER,single_source (+0.08); lead_time_days (+0.02); financial_health (+0.02),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Review lead-time commitments; agree on buffer stock at supplier or buyer site.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S231,C03,0.154,AMBER,lead_time_cv (+0.03); otif_rate (+0.02); backlog_growth (+0.02),Joint root-cause review of delivery variability; stabilise order release cadence. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S239,C11,0.153,AMBER,geo_risk_index (+0.07); financial_health (+0.01); response_latency_days (+0.01),Request business-continuity plan and alternate production site mapping. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S026,C02,0.152,AMBER,otif_rate (+0.03); financial_health (+0.02); capacity_utilization (+0.02),Open a delivery-performance corrective action plan with weekly checkpoints. | Request financial disclosure; evaluate supply-chain finance or early-payment terms.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S032,C08,0.15,AMBER,single_source (+0.07); otif_rate (+0.03); lead_time_cv (+0.01),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Open a delivery-performance corrective action plan with weekly checkpoints.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S066,C06,0.15,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S064,C04,0.15,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S037,C01,0.15,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S005,C05,0.15,AMBER,single_source (+0.07); backlog_growth (+0.01),Discuss dual-site production or tooling duplication; share a continuity plan for affected parts. | Confirm order acknowledgements; prioritise critical SKUs in the supplier's queue.,Increase monitoring cadence; pre-qualify alternate; share forecast with supplier.
S038,C02,0.149,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S194,C02,0.148,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S046,C10,0.146,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S208,C04,0.146,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S160,C04,0.145,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S118,C10,0.144,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S165,C09,0.142,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S137,C05,0.141,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S006,C06,0.14,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S158,C02,0.136,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S190,C10,0.135,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S009,C09,0.135,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S093,C09,0.133,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S040,C04,0.132,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S186,C06,0.132,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S205,C01,0.131,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S070,C10,0.131,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S167,C11,0.13,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S159,C03,0.129,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S171,C03,0.127,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S035,C11,0.126,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S091,C07,0.123,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S104,C08,0.122,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S049,C01,0.122,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S089,C05,0.122,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S173,C05,0.122,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S071,C11,0.12,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S238,C10,0.12,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S141,C09,0.12,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S022,C10,0.118,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S120,C00,0.115,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S002,C02,0.114,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S178,C10,0.113,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S235,C07,0.113,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S063,C03,0.113,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S060,C00,0.112,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S149,C05,0.112,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S115,C07,0.111,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S224,C08,0.109,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S139,C07,0.109,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S021,C09,0.107,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S223,C07,0.107,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S180,C00,0.105,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S023,C11,0.105,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S073,C01,0.105,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S055,C07,0.104,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S099,C03,0.103,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
S014,C02,0.102,GREEN,,,Standard monitoring; recognise performance in quarterly business review.
